filename,procdump,dropped,processes,files,read_files,write_files,delete_files,keys,read_keys,write_keys,delete_keys,executed_commands,resolved_apis,mutexes,started_services,hosts,domains,tcp,udp,icmp,http,dns,dead_hosts,signatures_count,ttps_count,status
237.json,0,0,1,2,0,0,0,4,1,0,0,0,0,0,0,0,0,70,41,0,0,0,0,3,3,benign
238.json,1,0,2,64,0,0,0,543,273,0,0,1,0,0,0,2,10,237,97,2,0,10,0,13,8,malicious
239.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,benign
24.json,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,1,1,benign
240.json,0,0,1,75,0,0,0,685,459,28,0,0,0,7,0,0,0,385,86,2,0,0,0,7,3,suspicious
241.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,benign
242.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
243.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,94,1,0,0,0,0,0,benign
244.json,0,0,2,123,0,0,0,380,247,17,0,1,0,0,0,0,0,0,0,0,0,0,0,10,7,benign
245.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
246.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
247.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
248.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
249.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,41,1,0,0,0,2,2,benign
25.json,0,2,3,51,0,0,0,386,260,0,0,4,0,22,0,0,0,0,22,0,0,0,0,2,1,benign
250.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,33,2,0,0,0,0,0,benign
251.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
252.json,0,1,4,159,0,1,3,4429,3441,6,0,1,0,6,0,0,0,138,89,1,0,0,11,6,3,benign
253.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
254.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
255.json,0,0,5,189,0,0,2,617,377,17,0,3,0,5,2,0,0,0,0,0,0,0,0,13,6,benign
256.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
257.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
258.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
259.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
26.json,1,0,7,235,1,1,1,1422,826,38,2,7,0,14,2,0,0,0,0,0,0,0,0,23,12,malicious
